Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dennis,2023-02-19 19:02:30,00:04:29,,"Love, Death & Robots: Volume 3: Night of the Mini Dead (Episode 4)",,Chrome PC (Cadmium),00:05:18,00:05:18,US (United States)
Dennis,2023-01-20 05:27:25,00:06:58,,Smiley: Season 1: When Alex Met Bruno (Episode 1),,Chrome PC (Cadmium),00:07:01,00:07:01,US (United States)
Dennis,2022-12-31 03:55:34,00:02:07,,Big Mouth: Season 6: The Hookup House (Episode 1),,Chrome PC (Cadmium),00:02:17,00:02:17,US (United States)
Dennis,2022-12-26 21:34:38,02:11:18,,Glass Onion: A Knives Out Mystery,,Chrome PC (Cadmium),02:12:44,02:12:44,US (United States)
Dennis,2022-12-19 04:14:22,00:00:36,,Single’s Inferno: Season 2: Episode 1,,Chrome PC (Cadmium),00:00:36,00:00:36,US (United States)
Dennis,2022-12-01 03:35:10,00:25:48,,Wednesday: Season 1: Wednesday's Child Is Full of Woe (Episode 1),,Chrome PC (Cadmium),00:24:26,00:24:26,US (United States)
Dennis,2022-10-12 02:15:56,00:36:12,,Arcane: Season 1: The Monster You Created (Episode 9),,Chrome PC (Cadmium),00:37:11,00:37:11,US (United States)
Dennis,2022-10-11 20:44:07,00:35:11,,Arcane: Season 1: Oil and Water (Episode 8),,Chrome PC (Cadmium),00:36:25,00:36:25,US (United States)
Dennis,2022-10-11 20:21:36,00:19:48,,Arcane: Season 1: The Boy Savior (Episode 7),,Chrome PC (Cadmium),00:36:20,00:36:20,US (United States)
Dennis,2022-10-10 23:14:59,00:15:46,,Arcane: Season 1: The Boy Savior (Episode 7),,Chrome PC (Cadmium),00:16:32,Not latest view,US (United States)
Dennis,2022-10-10 22:58:17,00:13:28,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Chrome PC (Cadmium),00:38:20,00:38:20,US (United States)
Dennis,2022-10-10 19:44:33,00:06:26,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Chrome PC (Cadmium),00:24:52,Not latest view,US (United States)
Dennis,2022-10-10 02:42:27,00:17:01,,Arcane: Season 1: When These Walls Come Tumbling Down (Episode 6),,Chrome PC (Cadmium),00:18:26,Not latest view,US (United States)
Dennis,2022-10-10 02:31:16,00:10:31,,Arcane: Season 1: Everybody Wants to Be My Enemy (Episode 5),,Chrome PC (Cadmium),00:36:53,00:36:53,US (United States)
Dennis,2022-10-10 00:11:33,00:25:23,,Arcane: Season 1: Everybody Wants to Be My Enemy (Episode 5),,Chrome PC (Cadmium),00:26:22,Not latest view,US (United States)
Dennis,2022-10-09 23:53:44,00:12:14,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Chrome PC (Cadmium),00:36:54,00:36:54,US (United States)
Dennis,2022-10-09 22:51:14,00:09:19,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Chrome PC (Cadmium),00:24:40,Not latest view,US (United States)
Dennis,2022-10-09 03:45:20,00:14:08,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Chrome PC (Cadmium),00:15:21,Not latest view,US (United States)
Dennis,2022-10-09 03:21:39,00:20:45,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Chrome PC (Cadmium),00:39:49,00:39:49,US (United States)
Dennis,2022-10-06 01:53:20,00:08:39,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Chrome PC (Cadmium),00:19:04,Not latest view,US (United States)
Dennis,2022-10-05 02:33:55,00:09:12,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Chrome PC (Cadmium),00:10:25,Not latest view,US (United States)
Dennis,2022-10-04 02:33:48,00:00:01,,Arcane: Season 1: The Base Violence Necessary for Change (Episode 3),,Chrome PC (Cadmium),00:00:18,Not latest view,US (United States)
Dennis,2022-10-04 02:22:13,00:07:00,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Chrome PC (Cadmium),00:36:43,00:36:43,US (United States)
Dennis,2022-10-03 02:03:01,00:11:46,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Chrome PC (Cadmium),00:29:43,Not latest view,US (United States)
Dennis,2022-10-02 02:52:33,00:16:45,,Arcane: Season 1: Some Mysteries Are Better Left Unsolved (Episode 2),,Chrome PC (Cadmium),00:17:57,Not latest view,US (United States)
Dennis,2022-10-02 02:33:03,00:09:36,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:39:43,00:39:43,US (United States)
Dennis,2022-09-29 02:26:03,00:13:41,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:30:07,Not latest view,US (United States)
Dennis,2022-09-26 19:16:22,00:01:58,,Do Revenge,,Chrome PC (Cadmium),00:05:42,00:05:42,US (United States)
Dennis,2022-09-26 02:11:40,00:03:44,,Do Revenge,,Chrome PC (Cadmium),00:03:44,Not latest view,US (United States)
Dennis,2022-09-07 19:31:32,00:07:28,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:38:36,00:38:36,US (United States)
Dennis,2022-09-07 04:06:53,00:08:09,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:31:08,Not latest view,US (United States)
Dennis,2022-09-06 22:37:26,00:02:12,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:22:59,Not latest view,US (United States)
Dennis,2022-09-06 04:11:42,00:05:01,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:20:47,Not latest view,US (United States)
Dennis,2022-09-05 22:39:20,00:04:09,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:15:46,Not latest view,US (United States)
Dennis,2022-08-31 06:16:08,00:07:58,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Apple iPhone 13 Pro Max,00:11:37,Not latest view,US (United States)
Dennis,2022-08-30 23:20:07,00:03:48,,The Sandman: Season 1: Sleep of the Just (Episode 1),,Chrome PC (Cadmium),00:03:48,Not latest view,US (United States)
Dennis,2022-07-19 20:36:26,00:30:06,,Blade Runner 2049,,Chrome PC (Cadmium),00:58:44,00:58:44,US (United States)
Dennis,2022-07-19 03:43:58,00:24:41,,Blade Runner 2049,,Chrome PC (Cadmium),00:29:19,Not latest view,US (United States)
Dennis,2022-07-13 03:18:16,00:02:15,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:16:26,Not latest view,US (United States)
Dennis,2022-07-12 04:21:40,00:05:57,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:14:11,Not latest view,US (United States)
Dennis,2022-07-11 19:59:22,00:07:26,,Arcane: Season 1: Welcome to the Playground (Episode 1),,Chrome PC (Cadmium),00:08:14,Not latest view,US (United States)
Dennis,2022-07-11 19:59:16,00:00:03,,Arcane: Season 1: Happy Progress Day! (Episode 4),,Chrome PC (Cadmium),00:00:27,Not latest view,US (United States)
Dennis,2022-07-02 04:14:52,00:53:50,,Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback (Episode 9),,Chrome PC (Cadmium),02:17:17,02:17:17,US (United States)
Dennis,2022-07-02 04:14:52,00:53:49,,Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback (Episode 9),,Chrome PC (Cadmium),02:17:17,Not latest view,US (United States)
Dennis,2022-07-01 22:00:38,00:39:26,,Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback (Episode 9),,Chrome PC (Cadmium),01:22:51,Not latest view,US (United States)
Dennis,2022-07-01 20:08:44,00:42:43,,Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback (Episode 9),,Chrome PC (Cadmium),00:43:36,Not latest view,US (United States)
Dennis,2022-07-01 19:08:28,00:35:50,,Stranger Things: Stranger Things 4: Chapter Eight: Papa (Episode 8),,Chrome PC (Cadmium),01:22:18,01:22:18,US (United States)
Dennis,2022-07-01 16:21:34,00:42:32,,Stranger Things: Stranger Things 4: Chapter Eight: Papa (Episode 8),,Chrome PC (Cadmium),00:46:28,Not latest view,US (United States)
Dennis,2022-07-01 16:13:47,00:03:09,,Stranger Things: Stranger Things 4: Chapter Eight: Papa (Episode 8),,Apple iPhone 13 Pro Max,00:03:09,Not latest view,US (United States)
Dennis,2022-06-05 21:39:40,00:00:36,,Arrested Development: Season 4 Remix: Fateful Consequences: Three Half Men (Episode 2),,Apple iPhone 13 Pro Max,00:00:50,00:00:50,US (United States)
Dennis,2022-06-05 21:36:30,00:03:08,,Arrested Development: Season 4 Remix: Fateful Consequences: Re Cap'n Bluth (Episode 1),,Apple iPhone 13 Pro Max,00:22:25,00:22:25,US (United States)
Dennis,2022-06-05 19:19:20,00:19:15,,Arrested Development: Season 4 Remix: Fateful Consequences: Re Cap'n Bluth (Episode 1),,Apple iPhone 13 Pro Max,00:19:16,Not latest view,US (United States)
Dennis,2022-06-05 19:09:49,00:09:28,,Arrested Development: Season 3: Development Arrested (Episode 13),,Apple iPhone 13 Pro Max,00:21:50,00:21:50,US (United States)
Dennis,2022-06-04 19:24:52,00:11:26,,Arrested Development: Season 3: Development Arrested (Episode 13),,Apple iPhone 13 Pro Max,00:12:20,Not latest view,US (United States)
Dennis,2022-06-04 03:36:43,00:12:09,,The Circle: Season 4: A Spicy Start (Episode 1),,Apple iPhone 13 Pro Max,00:26:57,00:26:57,US (United States)
Dennis,2022-06-03 23:10:46,00:00:46,,The Circle: Season 4: A Spicy Start (Episode 1),,Apple iPhone 13 Pro Max,00:14:47,Not latest view,US (United States)
Dennis,2022-06-03 23:06:07,00:02:51,,The Circle: Season 4: A Spicy Start (Episode 1),,Apple iPhone 13 Pro Max,00:14:00,Not latest view,US (United States)
Dennis,2022-06-03 21:04:57,00:11:08,,The Circle: Season 4: A Spicy Start (Episode 1),,Apple iPhone 13 Pro Max,00:11:08,Not latest view,US (United States)
Dennis,2022-06-03 21:04:40,00:00:01,,Stranger Things: Season 1: Chapter One: The Vanishing of Will Byers (Episode 1),,Apple iPhone 13 Pro Max,00:00:07,00:00:07,US (United States)
Dennis,2022-06-03 21:04:37,00:00:02,,Stranger Things: Season 1: Chapter One: The Vanishing of Will Byers (Episode 1),,Apple iPhone 13 Pro Max,00:00:00,Not latest view,US (United States)
Dennis,2022-06-03 16:00:31,00:10:46,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Apple iPhone 13 Pro Max,01:35:55,01:35:55,US (United States)
Dennis,2022-06-03 06:01:12,00:27:14,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Apple iPhone 13 Pro Max,01:22:29,Not latest view,US (United States)
Dennis,2022-06-03 05:39:32,00:16:42,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:54:15,Not latest view,US (United States)
Dennis,2022-06-03 02:52:55,00:14:29,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:34:49,Not latest view,US (United States)
Dennis,2022-06-03 00:40:23,00:02:27,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:20:20,Not latest view,US (United States)
Dennis,2022-06-03 00:00:02,00:01:32,,Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab (Episode 7),,Chrome PC (Cadmium),00:17:52,Not latest view,US (United States)
